sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,1998,1,119,97679,1998-01-01 00:00:00
AC,1998,1,129,11219,1998-01-01 00:00:00
AC,1998,1,131,0,1998-01-01 00:00:00
AC,1998,1,132,0,1998-01-01 00:00:00
AC,1998,1,133,0,1998-01-01 00:00:00
AC,1998,1,134,0,1998-01-01 00:00:00
AC,1998,1,135,0,1998-01-01 00:00:00
AC,1998,1,139,2622786,1998-01-01 00:00:00
AC,1998,1,211,0,1998-01-01 00:00:00
AC,1998,1,212,0,1998-01-01 00:00:00
AC,1998,1,219,0,1998-01-01 00:00:00
AC,1998,1,221,0,1998-01-01 00:00:00
AC,1998,1,222,0,1998-01-01 00:00:00
AC,1998,1,229,2068482,1998-01-01 00:00:00
AC,1998,1,239,0,1998-01-01 00:00:00
AC,1998,1,249,0,1998-01-01 00:00:00
AC,1998,1,399,4800166,1998-01-01 00:00:00
AC,1998,1,409,1328965,1998-01-01 00:00:00
AC,1998,1,419,1975,1998-01-01 00:00:00
AC,1998,1,429,88485,1998-01-01 00:00:00
AC,1998,1,439,2586980,1998-01-01 00:00:00
AC,1998,1,499,4006405,1998-01-01 00:00:00
AC,1998,1,999,8806571,1998-01-01 00:00:00
AC,1998,10,119,70826,1998-10-01 00:00:00
AC,1998,10,129,21072,1998-10-01 00:00:00
AC,1998,10,131,0,1998-10-01 00:00:00
AC,1998,10,132,0,1998-10-01 00:00:00
AC,1998,10,133,0,1998-10-01 00:00:00
AC,1998,10,134,0,1998-10-01 00:00:00
AC,1998,10,135,0,1998-10-01 00:00:00
AC,1998,10,139,2327243,1998-10-01 00:00:00
AC,1998,10,211,0,1998-10-01 00:00:00
AC,1998,10,212,0,1998-10-01 00:00:00
AC,1998,10,219,4202580,1998-10-01 00:00:00
AC,1998,10,221,0,1998-10-01 00:00:00
AC,1998,10,222,0,1998-10-01 00:00:00
AC,1998,10,229,2277276,1998-10-01 00:00:00
AC,1998,10,239,0,1998-10-01 00:00:00
AC,1998,10,249,0,1998-10-01 00:00:00
AC,1998,10,399,8898997,1998-10-01 00:00:00
AC,1998,10,409,107068,1998-10-01 00:00:00
AC,1998,10,419,2707,1998-10-01 00:00:00
AC,1998,10,429,67819,1998-10-01 00:00:00
AC,1998,10,439,3705257,1998-10-01 00:00:00
AC,1998,10,499,3882851,1998-10-01 00:00:00
AC,1998,10,999,12781847,1998-10-01 00:00:00
AC,1998,11,119,57264,1998-11-01 00:00:00
AC,1998,11,129,12610,1998-11-01 00:00:00
AC,1998,11,131,0,1998-11-01 00:00:00
AC,1998,11,132,0,1998-11-01 00:00:00
AC,1998,11,133,0,1998-11-01 00:00:00
AC,1998,11,134,0,1998-11-01 00:00:00
AC,1998,11,135,0,1998-11-01 00:00:00
AC,1998,11,139,2542693,1998-11-01 00:00:00
AC,1998,11,211,0,1998-11-01 00:00:00
AC,1998,11,212,0,1998-11-01 00:00:00
AC,1998,11,219,4202580,1998-11-01 00:00:00
AC,1998,11,221,0,1998-11-01 00:00:00
AC,1998,11,222,0,1998-11-01 00:00:00
AC,1998,11,229,1754356,1998-11-01 00:00:00
AC,1998,11,239,0,1998-11-01 00:00:00
AC,1998,11,249,0,1998-11-01 00:00:00
AC,1998,11,399,8569504,1998-11-01 00:00:00
AC,1998,11,409,107160,1998-11-01 00:00:00
AC,1998,11,419,1282,1998-11-01 00:00:00
AC,1998,11,429,46495,1998-11-01 00:00:00
AC,1998,11,439,2515100,1998-11-01 00:00:00
AC,1998,11,499,2670037,1998-11-01 00:00:00
AC,1998,11,999,11239541,1998-11-01 00:00:00
AC,1998,12,119,43618,1998-12-01 00:00:00
AC,1998,12,129,8116,1998-12-01 00:00:00
AC,1998,12,131,0,1998-12-01 00:00:00
AC,1998,12,132,0,1998-12-01 00:00:00
AC,1998,12,133,0,1998-12-01 00:00:00
AC,1998,12,134,0,1998-12-01 00:00:00
AC,1998,12,135,0,1998-12-01 00:00:00
AC,1998,12,139,2004526,1998-12-01 00:00:00
AC,1998,12,211,0,1998-12-01 00:00:00
AC,1998,12,212,0,1998-12-01 00:00:00
AC,1998,12,219,4202500,1998-12-01 00:00:00
AC,1998,12,221,0,1998-12-01 00:00:00
AC,1998,12,222,0,1998-12-01 00:00:00
AC,1998,12,229,2044977,1998-12-01 00:00:00
AC,1998,12,239,0,1998-12-01 00:00:00
AC,1998,12,249,0,1998-12-01 00:00:00
AC,1998,12,399,8303737,1998-12-01 00:00:00
AC,1998,12,409,86711,1998-12-01 00:00:00
AC,1998,12,419,5133,1998-12-01 00:00:00
AC,1998,12,429,39405,1998-12-01 00:00:00
AC,1998,12,439,844234,1998-12-01 00:00:00
AC,1998,12,499,975482,1998-12-01 00:00:00
AC,1998,12,999,9279220,1998-12-01 00:00:00
AC,1998,2,119,114225,1998-02-01 00:00:00
AC,1998,2,129,8893,1998-02-01 00:00:00
AC,1998,2,131,0,1998-02-01 00:00:00
AC,1998,2,132,0,1998-02-01 00:00:00
AC,1998,2,133,0,1998-02-01 00:00:00
AC,1998,2,134,0,1998-02-01 00:00:00
AC,1998,2,135,0,1998-02-01 00:00:00
AC,1998,2,139,1600807,1998-02-01 00:00:00
AC,1998,2,211,0,1998-02-01 00:00:00
AC,1998,2,212,0,1998-02-01 00:00:00
AC,1998,2,219,0,1998-02-01 00:00:00
AC,1998,2,221,0,1998-02-01 00:00:00
AC,1998,2,222,0,1998-02-01 00:00:00
AC,1998,2,229,2290350,1998-02-01 00:00:00
AC,1998,2,239,0,1998-02-01 00:00:00
